class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,confidence,File Name
blurry.complete,0.030169574999999997,0.9688995,0.05143062789466998,0.05641809389728175,0.613777,T16L600_W1_GC1_R2_P92_g12_2
hair,0.8045,0.7708595,0.019424533765318535,0.019023655931497484,0.581669,T16L600_W1_GC1_R2_P92_g12_2
hair,0.605264,0.77715,0.016757794037402383,0.018337655493546615,0.359957,T16L600_W1_GC1_R2_P92_g12_2
hair,0.8852475,0.725034,0.013687114560783076,0.016039426735391788,0.334612,T16L600_W1_GC1_R2_P92_g12_2
hair,0.67535725,0.8991764999999999,0.019537063981059206,0.018914195515538045,0.292863,T16L600_W1_GC1_R2_P92_g12_2
hair,0.019717984999999997,0.027169025,0.027386416637632603,0.023705052125783232,0.250501,T16L600_W1_GC1_R2_P92_g12_2
complete,0.7364267499999999,0.34888975000000005,0.0491400124643859,0.07438305813826154,0.941106,T16L600_W1_GC1_R2_P92_g12_6
complete,0.84546575,0.3488385,0.05223986141826945,0.07918410216703847,0.936793,T16L600_W1_GC1_R2_P92_g12_6
complete,0.609016,0.34716274999999996,0.051134544605383955,0.08449685007146712,0.933973,T16L600_W1_GC1_R2_P92_g12_6
complete,0.7098095000000001,0.1065827,0.04870822121326132,0.08149029671071283,0.923578,T16L600_W1_GC1_R2_P92_g12_6
complete,0.5916885000000001,0.10957002500000002,0.051374964477262655,0.08018580364378729,0.922122,T16L600_W1_GC1_R2_P92_g12_6
complete,0.45213725,0.347823,0.054484428160713985,0.09048323522620086,0.911895,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.4985859999999999,0.7322850000000001,0.05037601080871725,0.07643105298895204,0.90325,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.30861974999999997,0.7272965000000001,0.05180304595291664,0.0699481969746183,0.898416,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.56253025,0.47749549999999996,0.06281897503143455,0.07531268489437891,0.898323,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.14694,0.7359305,0.05072929498820186,0.07193432132855639,0.898164,T16L600_W1_GC1_R2_P92_g12_6
complete,0.9174865,0.10208682499999999,0.04859511352234914,0.07671104568443851,0.887711,T16L600_W1_GC1_R2_P92_g12_6
complete,0.3142805,0.34704475,0.05037215509584639,0.08414081792447706,0.88224,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.201407,0.09364175,0.054868055442124065,0.08408226978977196,0.873094,T16L600_W1_GC1_R2_P92_g12_6
complete,0.98190975,0.3496165,0.03635281217457593,0.050358358432339725,0.870176,T16L600_W1_GC1_R2_P92_g12_6
complete,0.8203949999999999,0.104489675,0.05160649110150777,0.07612174965146289,0.868104,T16L600_W1_GC1_R2_P92_g12_6
hair,0.944315,0.40523575,0.018757061416970432,0.02076020830820346,0.861242,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.911977,0.9767812499999999,0.04537823656776451,0.09140090400537616,0.789172,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.9833805,0.769915,0.03228696743269637,0.05515345814180654,0.78862,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.72399625,0.9757145,0.04900215689130439,0.09008693299252672,0.764696,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.34647174999999997,0.100114,0.057981358875072934,0.0881507345970526,0.728469,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.060371499999999995,0.3522855,0.06281303260470714,0.08050363604365955,0.713863,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.5494954999999999,0.9798955,0.03954737839604542,0.0837705373505506,0.711917,T16L600_W1_GC1_R2_P92_g12_6
complete,0.1789125,0.35131875,0.059165000059156585,0.07433897756897116,0.71188,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.2130435,0.7678404999999999,0.053996050707436044,0.08088323990790676,0.710501,T16L600_W1_GC1_R2_P92_g12_6
hair,0.7694259999999999,0.287205,0.01198420443750856,0.011044588358105463,0.686191,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.46071700000000004,0.103649925,0.05209219395082146,0.08315846730790555,0.682149,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.10413505000000002,0.9814585,0.03724401938566787,0.07790362579655712,0.668411,T16L600_W1_GC1_R2_P92_g12_6
